institution_siglum,source_shelfmark,source_title
GB-WO,F.160 (olim 1247) (facsimile),"Worcester, Cathedral - Music Library, F.160 (olim 1247) (facsimile)"
GB-WO,F.160 (olim 1247) (with hymnal),"Worcester, Cathedral - Music Library, F.160 (olim 1247) (with hymnal)"
H-Ba,T 174,"Budapest, Magyar Tudományos Akadémia Könyvtár és Információs Központ, T 174"
H-Bu,lat. 118,"Budapest, Egyetemi Könyvtár (University Library), lat. 118"
H-Bu,lat. 119,"Budapest, Egyetemi Könyvtár (University Library), lat. 119"
H-Bu,lat. 121,"Budapest, Egyetemi Könyvtár (University Library), lat. 121"
H-Bu,lat. 122,"Budapest, Egyetemi Könyvtár (University Library), lat. 122"
HR-Dsmbb,Codex Badija III,"Dubrovnik, Franjevacki samostan, Codex Badija III"
HR-Dsmbb,Codex Badija V,"Dubrovnik, Franjevacki samostan, Codex Badija V"
HR-Dsmbb,Codex Badija X,"Dubrovnik, Franjevacki samostan, Codex Badija X"
HR-Dsmbb,Codex Badija XI,"Dubrovnik, Franjevacki samostan, Codex Badija XI"
HR-Hf,Cod. C Nr. 4,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. C Nr. 4"
HR-Hf,Cod. D Nr. 5,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. D Nr. 5"
HR-Hf,Cod. E Nr. 3,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. E Nr. 3"
HR-Hf,Cod. F Nr. 6,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. F Nr. 6"
HR-Zmk,MR 72,"Zagreb, Metropolitanska Knjižnica, MR 72"
HR-ŠIBf,sine signo,"Šibenik, Franciscan Monastery, sine signo"
I-AO,6,"Aosta, Seminario Maggiore - Biblioteca, 6"
I-AO,Cod. 11,"Aosta, Biblioteca del Seminario Maggiore, Cod. 11"
I-AO,Cod. 13,"Aosta, Biblioteca del Seminario Maggiore, Cod. 13"
I-Ac,693,"Assisi, Biblioteca Comunale, 693"
I-Ac,694,"Assisi, Biblioteca Comunale, 694"
I-Ac,695,"Assisi, Biblioteca Comunale, 695"
I-Ad,5,"Assisi, Cattedrale San Rufino - Archivio e Biblioteca, 5"
I-BAca,(199),"Bari, Biblioteca Capitolare, (199)"
I-BV,V 19,"Benevento, Biblioteca capitolare, V 19"
I-BV,V 20,"Benevento, Biblioteca capitolare, V 20"
I-BV,VI 34,"Benevento, Biblioteca capitolare, VI 34"
I-BV,VI 35,"Benevento, Biblioteca capitolare, VI 35"
I-BV,VI 39,"Benevento, Biblioteca capitolare, VI 39"
I-BV,cod. VI 38,"Benevento, Biblioteca capitolare, cod. VI 38"
I-Bu,2748,"Bologna, Biblioteca universitaria, 2748"
I-Bu,2824,"Bologna, Biblioteca universitaria, 2824"
I-CF,LVI,"Cividale del Friuli, Archivio Capitolare, LVI"
I-CF,LVIII,"Cividale del Friuli, Archivio Capitolare, LVIII"
I-CFm,LVI,"Cividale, Museo Archeologico Nazionale, LVI"
I-CHV,s.c.,"Chiavenna, Tesoro della Collegiata di S. Lorenzo - Museo Capitolare, s.c."
I-Far,s.c.,"Firenze (Florence), Arcivescovado - Biblioteca, s.c."
I-Fl,Conv. sopp. 560,"Firenze (Florence), Biblioteca Medicea-Laurenziana, Conv. sopp. 560"
I-INp,ms 5,"Intra, Archivio Parrocchiale, ms 5"
I-IV,60,"Ivrea, Biblioteca capitolare, 60"
I-Lc,601,"Lucca, Biblioteca Capitolare Feliniana e Biblioteca Arcivescovile, 601"
I-Lcr,MS 5,"Lucca, Biblioteca Arcivescovile, MS 5"
I-MC,542,"Montecassino, Monumento Nazionale di Montecassino - Biblioteca, 542"
I-MOd,"O,I.16","Modena, Biblioteca capitolare, O,I.16"
I-MOd,O. I. 7,"Modena, Biblioteca capitolare, O. I. 7"
I-MZ,15/79,"Monza, Biblioteca capitolare, 15/79"
I-MZ,c. 13/76,"Monza, Biblioteca capitolare, c. 13/76"
I-MZ,c. 14/77,"Monza, Biblioteca capitolare, c. 14/77"
I-Mb,AE XIV 12,"Milano, Biblioteca nazionale Braidense, AE XIV 12"
I-Nn,VI.g.38,"Naples, Biblioteca Nazionale Vittorio Emanuele III, VI.g.38"
I-Nn,XVI AA 39,"Naples, Biblioteca Nazionale Vittorio Emanuele III, XVI AA 39"
I-Nn,vi. E. 20,"Naples, Biblioteca Nazionale Vittorio Emanuele III, vi. E. 20"
I-PCd,65,"Piacenza, Archivio e Biblioteca Capitolare della Cattedrale, 65"
I-PCd,cod. 65,"Piacenza, Archivio e Biblioteca Capitolare della Cattedrale, cod. 65"
I-PS,121,"Pistoia, Biblioteca capitolare, 121"
I-Pc,A. 47,"Padova, Biblioteca Capitolare, A. 47"
I-Pc,B16*,"Padova, Biblioteca Capitolare, B16*"
I-Pc,MS C.55,"Padova, Biblioteca Capitolare, MS C.55"
I-Ps,697,"Padova, Biblioteca del Seminario vescovile, 697"
I-Ps,697,"Padova, Biblioteca del Seminario vescovile, 697"
I-Ra,123,"Roma, Biblioteca Angelica, 123"
I-Rn,1343,"Roma, Biblioteca nazionale, 1343"
I-Rss,XIV L1,"Rome, Santa Sabina - Archivum Generale Ordinis Praedicatorum, XIV L1"
I-Rss,"XIV L1 (""Humbert"" codex)","Rome, Santa Sabina - Archivum Generale Ordinis Praedicatorum, XIV L1 (""Humbert"" codex)"
I-Rv,C.5,"Roma, Biblioteca Vallicelliana, C.5"
I-SCHc,cod. 10 (E),"Schio, Biblioteca Civica, cod. 10 (E)"
I-Tn,F. IV. 18,"Torino, Biblioteca nazionale, F. IV. 18"
I-Tn,G. V. 20,"Torino, Biblioteca nazionale, G. V. 20"
I-UDs,Codice 7,"Udine, Biblioteca del Seminario Arcivescovile, Codice 7"
I-VCd,146,"Vercelli, Biblioteca Capitolare, 146"
I-VCd,161,"Vercelli, Biblioteca Capitolare, 161"
I-VCd,162,"Vercelli, Biblioteca Capitolare, 162"
I-VCd,CLXX,"Vercelli, Biblioteca Capitolare, CLXX"
I-VCd,LXII,"Vercelli, Biblioteca Capitolare, LXII"
I-VCd,LXIV,"Vercelli, Biblioteca Capitolare, LXIV"
I-VCd,LXX,"Vercelli, Biblioteca Capitolare, LXX"
I-VCd,LXXIX,"Vercelli, Biblioteca Capitolare, LXXIX"
I-VCd,XXXVII,"Vercelli, Biblioteca Capitolare, XXXVII"
I-VEcap,CVII [107],"Verona, Biblioteca Capitolare, CVII [107]"
I-VEcap,XC (85),"Verona, Biblioteca Capitolare, XC (85)"
I-Vlevi,CF D 21,"Venezia, Biblioteca della Fondazione Ugo e Olga Levi “Gianni Milner”, CF D 21"
I-Vnm,RARI VEN. 709,"Venezia, Biblioteca Nazionale Marciana, RARI VEN. 709"
I-Vnm,Rari Ven. 710-713,"Venezia, Biblioteca Nazionale Marciana, Rari Ven. 710-713"
I-Vnm,Rari Ven. 711,"Venezia, Biblioteca Nazionale Marciana, Rari Ven. 711"
IRL-Dsa,Box 41 #38,"Dublin, Royal Society of Antiquaries of Ireland, Box 41 #38"
IRL-Dtc,78,Trinity College Dublin
IRL-Dtc,ms 100,"Dublin, Trinity College, ms 100"
IRL-Dtc,ms 81,"Dublin, Trinity College, ms 81"
N-Ora,Ms.lat.fragm. 11 Antiphonarium,"Oslo, Norwegian Riks Arkivet, Ms.lat.fragm. 11 Antiphonarium"
N-Ora,Ms.lat.fragm. 15,"Oslo, Norwegian Riks Arkivet, Ms.lat.fragm. 15"
NL-At,206 A 11,"Amsterdam, Toonkunst-Bibliotheek, 206 A 11"
NL-Au,I. A. 8,"Amsterdam, Universiteitsbibliotheek, I. A. 8"
NL-Au,I. C. 17,"Amsterdam, Universiteitsbibliotheek, I. C. 17"
NL-D,10 T 3,"Deventer, Athenaeum-Bibliotheek, 10 T 3"
NL-D,11 L 2,"Deventer, Athenaeum-Bibliotheek, 11 L 2"
NL-DHk,128 D 29,"Den Haag, Koninklije Bibliotheek, 128 D 29"
NL-DHk,70 E 4,"Den Haag, Koninklije Bibliotheek, 70 E 4"
NL-DHk,71 A 21,"Den Haag, Koninklije Bibliotheek, 71 A 21"
NL-DHk,76 D 14,"Den Haag, Koninklije Bibliotheek, 76 D 14"
NL-DHk,76 E 18,"Den Haag, Koninklije Bibliotheek, 76 E 18"
NL-DHk,76 E 2,"Den Haag, Koninklije Bibliotheek, 76 E 2"
NL-DHk,78 A 33,"Den Haag, Koninklije Bibliotheek, 78 A 33"
NL-DHk,KB  71 A 4,"Den Haag, Koninklije Bibliotheek, KB  71 A 4"
NL-Hbm,BMH h 20,"Haarlem, Bischopse Museum, BMH h 20"
NL-Hs,184 C 1,"Haarlem, Stadsbibliotheek, 184 C 1"
NL-Hs,184 C 2,"Haarlem, Stadsbibliotheek, 184 C 2"
NL-Hs,184 C 7,"Haarlem, Stadsbibliotheek, 184 C 7"
NL-Hs,187 C 17,"Haarlem, Stadsbibliotheek, 187 C 17"
NL-Lu,BPL 2777,"Leiden, Universiteitsbibliotheek, BPL 2777"
NL-Lu,BPL 2879,"Leiden, Universiteitsbibliotheek, BPL 2879"
NL-SHae,216-02,"’s-Hertogenbosch , Erfgoed 's-Hertogenbosch (Stadsarchief)- Archiefnummer 1117 (Oude werken Sint-Jan), 216-02"
NL-Ur,Nr. 166-41,"Utrecht, Rijksarchief - Rechterlijke archieven vóór1811, Nr. 166-41"
NL-Urc,ABM h 62,"Utrecht, Catharijneconvent, ABM h 62"
NL-Urc,BMH Warm h 92 H 1,"Utrecht, Catharijneconvent, BMH Warm h 92 H 1"
NL-Urc,BMH h 8,"Utrecht, Catharijneconvent, BMH h 8"
NL-Urc,BMH h. 149,"Utrecht, Catharijneconvent, BMH h. 149"
NL-Urc,BMH h. 21,"Utrecht, Catharijneconvent,  BMH h. 21"
NL-Uu,402 (V. A. 13),"Utrecht, Universiteitsbibliotheek, 402 (V. A. 13)"
NL-Uu,403 (VIII. B. 2),"Utrecht, Universiteitsbibliotheek, 403 (VIII. B. 2)"
NL-Uu,405 (III. K. 3),"Utrecht, Universiteitsbibliotheek, 405 (III. K. 3)"
NL-Uu,407 (3 J 6),"Utrecht, Universiteitsbibliotheek, 407 (3 J 6)"
NL-Uu,413,"Utrecht, Universiteitsbibliotheek, 413"
NL-Uu,415 (VI. A. 1),"Utrecht, Universiteitsbibliotheek, 415 (VI. A. 1)"
NL-Uu,417 (5. C. 19),"Utrecht, Universiteitsbibliotheek, 417 (5. C. 19)"
NL-Uu,MS 406 (shelfmark 3 J 7),"Utrecht, Universiteitsbibliotheek, MS 406 (shelfmark 3 J 7)"
NL-Uu,Ms. 406 (shelfmark 3 J 7),"Utrecht, Universiteitsbibliotheek, Ms. 406 (shelfmark 3 J 7)"
NL-Uu,Ms. fr. 4.3,"Utrecht, Universiteitsbibliotheek, Ms. fr. 4.3"
NL-ZUa,2,"Zutphen, Stadsarchief en Stedelijke Bibliotheek, 2"
NL-ZUa,6,"Zutphen, Stadsarchief en Stedelijke Bibliotheek, 6"
NZ-Wt,MSR-03,"Wellington (New Zealand), The Alexander Turnbull Library - Rare Books, MSR-03"
P-BRp,1,"Braga, Biblioteca Pública, 1"
P-BRp,ADB 949 (Braga Codex),"Braga, Biblioteca Pública, ADB 949 (Braga Codex)"
P-BRs,18,"Braga, Arquivo da Sé, 18"
P-BRs,23,"Braga, Arquivo da Sé, 23"
P-BRs,"Antiphoner from the Cathedral of Braga, nº32","Braga, Arquivo da Sé, Antiphoner from the Cathedral of Braga, nº32"
P-Cug,MM45,"Coimbra, Biblioteca Geral da Universidade, MM45"
P-LA,1084 4-b,"Lamego, Arquivo da Sé, 1084 4-b"
P-Pm,1151,"Porto, Biblioteca Municipal, 1151"
PL-GNd,149,"Gniezno, Archiwum Archidiecezjalne, 149"
PL-KIk,Ms. 1,"Kielce, Biblioteka Kapituły Katedralnej, Ms. 1"
PL-Kkar,Ms.1 (rkp. Perg. 12),"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.1 (rkp. Perg. 12)"
PL-Kkar,Ms.2 (rkp. Perg. 14),"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.2 (rkp. Perg. 14)"
PL-Kkar,Ms.3 (rkp. Perg. 15),"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.3 (rkp. Perg. 15)"
PL-Kkar,Ms.4 (rkp. Perg. 20),"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.4 (rkp. Perg. 20)"
PL-Kkar,Ms.5 (rkp. Perg. 13),"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.5 (rkp. Perg. 13)"
PL-WRu,I F 401,"Wroclaw, Biblioteka Uniwersytecka, I F 401"
PL-WRu,IV.Q.81,"Wroclaw, Biblioteka Uniwersytecka, IV.Q.81"
PL-WRu,Ms. R 503,"Wroclaw, Biblioteka Uniwersytecka, Ms. R 503"
PL-WRzno,Rkp. 12025/IV,"Wrocław, Zakład Narodowy im. Ossolińskich - Biblioteka, Rkp. 12025/IV"
RO-Ca,BMV R.12,"Cluj-Napoca, Biblioteca Academiei Române, BMV R.12"
RO-Ca,F. 45047,"Cluj-Napoca, Biblioteca Academiei Române, F. 45047"
S-UMsdl,Ink. 4,"Umeå, University Library, Ink. 4"
S-UMsdl,Östergren F 00648: 1-3,"Umeå, University Library, Östergren F 00648: 1-3"
SI-Lna,18 (olim 17),"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 18 (olim 17)"
SI-Lna,19 (olim 18),"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 19 (olim 18)"
SK-BRa,EC.Lad.3,"Bratislava, State Archive Bratislava, EC.Lad.3"
SK-BRm,"EC Lad. 4, ba (Bratislava Antiphonary IIb)","Bratislava, Archív hlavného mesta SR Bratislavy, EC Lad. 4, ba (Bratislava Antiphonary IIb)"
T-NTCfj,"Book 1, Test - Chinese Catholic Plainchant","New Taipei City, Fu Jen University, Book 1, Test - Chinese Catholic Plainchant"
TR-Itks,Deissmann 42,"Istanbul, Topkapı Sarayı Müzesi, Deissmann 42"
US-AUS,21,"Austin, Harry Ransom Center, 21"
US-AUS,HRC 13,"Austin, Harry Ransom Center, HRC 13"
US-AUS,HRC 145,"Austin, Harry Ransom Center, HRC 145"
US-AUS,HRC Leaf A29,"Austin, Harry Ransom Center, HRC Leaf A29"
US-AUS,HRC Leaf A36,"Austin, Harry Ransom Center, HRC Leaf A36"
US-AUS,HRC Leaf A37,"Austin, Harry Ransom Center, HRC Leaf A37"
US-AUS,HRC Leaf A38,"Austin, Harry Ransom Center, HRC Leaf A38"
US-AUS,HRC Leaf A39,"Austin, Harry Ransom Center, HRC Leaf A39"
US-AUS,HRC Leaf A40,"Austin, Harry Ransom Center, HRC Leaf A40"
US-AUS,Leaf A 29,"Austin, Harry Ransom Center, Leaf A 29"
US-AUS,Leaf A 30,"Austin, Harry Ransom Center, Leaf A 30"
US-AUS,Leaf A 30,"Austin, Harry Ransom Center, Leaf A 30"
US-Augusta,GR/MS.020,"Augusta (GA), Augusta-Richmond County Library, GR/MS.020"
US-BAw,W 759,"Baltimore, Walters Art Museum, W 759"
US-BAw,W 760,"Baltimore, Walters Art Museum, W 760"
US-BM,50,"Bryn Mawr, Bryn Mawr College Special Collection, 50"
US-Bpr,RARE BKS MS pb Med. 156,"Boston, Boston Public Library, RARE BKS MS pb Med. 156"
US-CAh,MS typ 963,"Cambridge (MA), Harvard University - Houghton Library, MS typ 963"
US-CHNbcbl,MS.1996.097,"Chestnut Hill (MA), Boston College University Libraries - John J. Burns Library, MS.1996.097"
US-CON,CA 02,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 02"
US-CON,CA 04,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 04"
US-CON,CA 06,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 06"
US-CON,CA 07,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 07"
US-CON,CA 09,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 09"
US-CON,CA 12,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 12"
US-CON,CA 13,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 13"
US-CON,CA 14,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 14"
US-CON,CA 15,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 15"
US-CON,CA 16,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 16"
US-CON,CA 17,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 17"
US-CON,CA 18,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 18"
US-CON,CA 22,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 22"
US-CON,CA 23,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 23"
US-CON,CA 24,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 24"
US-CON,CA 33,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 33"
US-CPbl,9 (nzi0),"College Park, Booklab at University of Maryland, 9 (nzi0)"
"US-CPpa,",s.n.,"College Park (USA), University of Maryland - Michelle Smith Performing Arts Library, s.n."
US-Cai,1911.142b,"Chicago, Art Institute of Chicago - Mrs. William E. Kelley Collection, 1911.142b"
US-Cn,24,"Chicago, The Newberry Library, 24"
US-Cn,case 181,"Chicago, The Newberry Library, case 181"
US-Cn,case 59.1,"Chicago, The Newberry Library, case 59.1"
US-DN,D:03e8a,"Denton (USA), UNT College of Music Special Collections, D-03e8a"
US-DN,D:0aehq,"Denton (USA), UNT College of Music Special Collections, D-0aehq"
US-DN,D:0i04c,"Denton (USA), UNT College of Music Special Collections, D-0i04c"
US-DN,D:0pkgx,"Denton (USA), UNT College of Music Special Collections, D-0pkgx"
US-DN,D:0qcjh,"Denton (USA), UNT College of Music Special Collections, D-0qcjh"
US-HArscl,BX1876 .M37 1550,"Hanover (NH), Dartmouth College Library - Rare Books, BX1876 .M37 1550"
US-HArscl,Rauner Codex MS 003203,"Hanover (NH), Dartmouth College Library - Rare Books, Rauner Codex MS 003203"
US-HArscl,Rauner Incunabula 106,"Hanover (NH), Dartmouth College Library - Rare Books, Rauner Incunabula 106"
US-HArscl,Rauner Incunabula 162,"Hanover (NH), Dartmouth College Library - Rare Books, Rauner Incunabula 162"
US-IO,M2149.6 1475,"Iowa City, University of Iowa Rita Benton Music Library Rare Book Room, M2149.6 1475"
US-IOspca,"MSC0542, xMMS.Po1","Iowa City, University of Iowa Libraries Special Collections and Archives, MSC0542, xMMS.Po1"
US-KClbsc,M2147.C53 1500z,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, M2147.C53 1500z"
US-KClbsc,M2149.2 .V4 1629,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, M2149.2 .V4 1629"
US-KClbsc,MS 0285 - 5,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, MS 0285 - 5"
US-KClbsc,MS 0285 Object 1,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, MS 0285 Object 1"
US-KClbsc,MS 0285 Object 2,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, MS 0285 Object 2"
US-KClbsc,MS 0285 Object 3,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, MS 0285 Object 3"
US-KClbsc,MS 0285 Object 4,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, MS 0285 Object 4"
US-KClbsc,MS 0285 Object 5-6,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, MS 0285 Object 5-6"
US-LAgmmd,Ms. 64,"Los Angeles, J. Paul Getty Museum, Ms. 64"
US-Mu,BX1999.85.82 1562 Volume 1,"Milwaukee, Raynor Archive at Marquette University, BX1999.85.82 1562 Volume 1"
US-Mu,BX1999.85.82 1562 Volume 2,"Milwaukee, Raynor Archive at Marquette University, BX1999.85.82 1562 Volume 2"
US-Mu,BX1999.85.82 1562 Volume 3,"Milwaukee, Raynor Archive at Marquette University, BX1999.85.82 1562 Volume 3"
US-Mu,BX1999.85.82 1562 Volume 4,"Milwaukee, Raynor Archive at Marquette University, BX1999.85.82 1562 Volume 4"
US-Mu,BX1999.85.82 1562 Volume 9,"Milwaukee, Raynor Archive at Marquette University, BX1999.85.82 1562 Volume 9"
US-NDu,Lat. a. 12,"Notre Dame, University of Notre Dame - Music Library, Lat. a. 12"
US-NDu,lat. b.4,"Notre Dame, University of Notre Dame - Music Library, lat. b.4"
US-NYcub,Plimpton MS 034,"New York City (NY), Columbia University - Rare Book and Manuscript Library, Plimpton MS 034"
US-NYcub,Plimpton MS 041,"New York City (NY), Columbia University - Rare Book and Manuscript Library, Plimpton MS 041"
US-NYcub,Western MS 080,"New York, Butler Library, Western MS 080"
US-NYcub,Western MS 097,"New York City (NY), Columbia University - Rare Book and Manuscript Library, Western MS 097"
US-NYcubl,MS 1,"New York City (NY), Columbia University - Barnard College Library, MS 1"
US-PHf,Lewis E M 1:10,"Philadelphia, Free Library of Philadelphia, Lewis E M 1:10"
US-PHf,Lewis E M 1:16,"Philadelphia, Free Library of Philadelphia, Lewis E M 1:16"
US-PHf,Lewis E M 67:1,"Philadelphia, Free Library of Philadelphia, Lewis E M 67:1"
US-PHf,Lewis E M 67:2,"Philadelphia, Free Library of Philadelphia, Lewis E M 67:2"
US-PHf,Lewis E M 70:16,"Philadelphia, Free Library of Philadelphia, Lewis E M 70:16"
US-PRu,67.4,"Princeton, Princeton University Library, 67.4"
US-PRu,Garrett MS. 169,"Princeton, Princeton University Library, Garrett MS. 169"
US-PRu,Princeton MS. 245,"Princeton, Princeton University Library, Princeton MS. 245"
US-SLprl,D:05qz8,"St Louis, Peter H. Raven Library (Missouri Botanical Library), (no shelf-mark) D-05qz8"
US-SLprl,"QK41.F8 1542, c.2","St Louis, Peter H. Raven Library (Missouri Botanical Library), QK41.F8 1542, c.2"
US-STu,"M2223, Item 42","Stanford, Stanford University - Green Library - Department of Special Collections, M2223, Item 42"
US-STu,MSS CODEX 0734 FF,"Stanford, Stanford University - Green Library - Department of Special Collections, MSS CODEX 0734 FF"
US-WOau,4a,"Worcester (MA), Assumption University - D'Alzon Library, 4a"
US-WOau,4b,"Worcester (MA), Assumption University - D'Alzon Library, 4b"
US-WOau,4c,"Worcester (MA), Assumption University - D'Alzon Library, 4c"
US-Wc,M2.1 X M1,"Washington (D.C.), The Library of Congress - Music Division, M2.1 X M1"
US-Wc,M2.1 XI M1,"Washington (D.C.), The Library of Congress - Music Division,  M2.1 XI M1"
US-Wc,M2.1 XI M3,"Washington (D.C.), The Library of Congress - Music Division, M2.1 XI M3"
US-Wc,M2.1 XI M4 [formerly M2.1 XII M1],"Washington (D.C.), The Library of Congress - Music Division, M2.1 XI M4 [formerly M2.1 XII M1]"
US-Wc,M2.1 XI M5,"Washington (D.C.), The Library of Congress - Music Division, M2.1 XI M5"
US-Wc,M2.1 XI M6 [formerly M2.1 XII M8],"Washington (D.C.), The Library of Congress - Music Division, M2.1 XI M6 [formerly M2.1 XII M8]"
US-Wc,M2.1 XII M10,"Washington (D.C.), The Library of Congress - Music Division, M2.1 XII M10"
US-Wc,M2.1 XII M11 [formerly M2.1 XI M2],"Washington (D.C.), The Library of Congress - Music Division, M2.1 XII M11 [formerly M2.1 XI M2]"
US-Wc,M2.1 XII M12 [formerly M2.1 XIII M4],"Washington (D.C.), The Library of Congress - Music Division, M2.1 XII M12 [formerly M2.1 XIII M4]"
US-Wc,M2.1 XII M2,"Washington (D.C.), The Library of Congress - Music Division, M2.1 XII M2"
US-Wc,M2.1 XII M4,"Washington (D.C.), The Library of Congress - Music Division, M2.1 XII M4"
US-Wc,M2.1 XII M6,"Washington (D.C.), The Library of Congress - Music Division, M2.1 XII M6"
US-Wc,M2.1 XII M7,"Washington (D.C.), The Library of Congress - Music Division, M2.1 XII M7"
US-Wc,M2.1 XII M9,"Washington (D.C.), The Library of Congress - Music Division, M2.1 XII M9"
V-CVbav,Cappella Sistina 27,"Città del Vaticano, Biblioteca Apostolica Vaticana, Cappella Sistina 27"
V-CVbav,Reg. lat. 1529,"Città del Vaticano, Biblioteca Apostolica Vaticana, Reg. lat. 1529"
V-CVbav,Reg. lat. 318,"Città del Vaticano, Biblioteca Apostolica Vaticana, Reg. lat. 318"
V-CVbav,San Pietro B.79,"Città del Vaticano, Biblioteca Apostolica Vaticana, San Pietro B.79"
V-CVbav,Vat. lat. 5319,"Città del Vaticano, Biblioteca Apostolica Vaticana, Vat. lat. 5319"
V-CVbav,lat. 8737,"Città del Vaticano, Biblioteca Apostolica Vaticana, lat. 8737"
XX-NN,D-A/imp:1498,"Augsburg, Ratdolt, D-A/imp:1498 (Print)"
XX-NN,D-P/imp1511,"Passau:  Imp: Graduale Pataviense (Wien, 1511)"
XX-NN,D-WÜ/imp1583,Graduale Herbipolense iussu atque authoritate 
XX-NN,F-723s,"Unknown, Current Location Unknown, F-723s"
XX-NN,F-g8xi,"Unknown, Current Location Unknown, F-g8xi"
XX-NN,F-ppmq,"Unknown, Current Location Unknown, F-ppmq"
XX-NN,MA Impr. 1537,Münster Antiphoner (1537)
XX-NN,N-N.miss.imp.1519,Nidaros Missale
ZA-Csa,Grey 4c7,"Cape Town, National Library of South Africa, Grey 4c7"
,A-Ws Fragm. liturg. 20,
,A-Ws Fragm. liturg. 21,
,A-Ws Fragm. liturg. 26,
,A-Ws Fragm. liturg. 26,
,A-Ws Fragm. liturg. 50,
,A-Ws Fragm. liturg. 98,
,B-Br II. 3827,
,BEAUVAIS,Beauvais Missal
,D:00jf0,"McClean (USA), Private Collection, D-00jf0"
,D:016kc,"Bedford (USA), Private Collection, D-016kc"
,D:01d6t,"Oxford (UK), Private collections, D-01d6t"
,D:01oko,"London (Ontario), Private collections, D-01oko"
,D:02csu,"North Vancouver (British Columbia), Private collections, D:02csu"
,D:02fkm,"Halifax (Canada), Private collections, D-02fkm"
,D:02ka7,"Victoria, Private Collection, D-02ka7"
,D:02ryf,"Montreal (Quebec), Private collections, D-02ryf"
,D:03cfi,"New York (USA), Private collections, D-03cfi"
,D:03w1z,"Oxford (UK), Private collections, D-03w1z"
,D:04o0b,"Los Angeles, Private Collection, D-04o0b"
,D:04sqa,"Calgary, Private Collection, D-04sqa"
,D:05k5s,"Cincinnati (Ohio), Private collections, D-05k5s"
,D:06b7w,"Mascouche (Quebec), Private collections, D-06b7w"
,D:06g6c,"New York (USA), Private collections, D-06g6c"
,D:0777g,"Hartford (CT), Private collections, D-0777g"
,D:07e7c,"Connecticut USA, Private collections, D-07e7c"
,D:07lvz,"Connecticut USA, Private collections, D-07lvz"
,D:083py,"Oxford (UK), Private collections, D-083py"
,D:08kfm,"Los Angeles, Private Collection, D-08kfm"
,D:0ak7n,"Los Angeles, Private Collection, D-0ak7n"
,D:0b3z1,"Connecticut USA, Private collections, D-0b3z1"
,D:0bz05,"Austin (USA), Private Collection, D-0bz05"
,D:0c7q2,"Los Angeles, Private Collection, D-0c7q2"
,D:0dex0,"Montreal (Quebec), Private collections, D-0dex0"
,D:0e330,"Oakland (California), Private collections, D-0e330"
,D:0e78r,"Connecticut USA, Private collections, D-0e78r"
,D:0egev,"Porto Alegre (Brazil), Private collections, D-0egev"
,D:0eqhg,"Bristol (UK), Private collections, D-0eqhg"
,D:0es6l,"Victoria (British Columbia), Private collection, D-0es6l"
,D:0f2cr,"Rottenburg (Germany), Private collections, D-0f2cr"
,D:0f4dd,"Connecticut USA, Private collections, D-0f4dd"
,D:0fery,"Salem (New Hampshire), Private collections, D-0fery"
